annee,prix,nom,genre,pays
1939,Chemestry,Leopold Ružička,Male,"Croatia, Switzerland"
1939,Literature,Frans Eemil Sillanpää,Male,Finland
1939,Medicine,Gerhard Domagk,Male,Germany
1939,Physics,Ernest Lawrence,Male,United States of America
1943,Chemestry,George de Hevesy,Male,Hungary
1943,Medicine,Edward Adelbert Doisy,Male,United States of America
1943,Medicine,Henrik Dam,Male,Denmark
1943,Physics,Otto Stern,Male,"Germany, United States of America"
1944,Chemestry,Otto Hahn,Male,Germany
1944,Literature,Johannes Vilhelm Jensen,Male,Denmark
1944,Medicine,Joseph Erlanger,Male,United States of America
1944,Medicine,Herbert Spencer Gasser,Male,United States of America
1944,Physics,Isidor Isaac Rabi,Male,United States of America
1945,Chemestry,Artturi Ilmari Virtanen,Male,Finland
1945,Literature,Gabriela Mistral,Female,Chile
1945,Medicine,Howard Florey,Male,Australia
1945,Medicine,Ernst Boris Chain,Male,"Germany, United Kingdom"
1945,Medicine,Alexander Fleming,Male,United Kingdom
1945,Peace,Cordell Hull,Male,United States of America
1945,Physics,Wolfgang Pauli,Male,Austria
1946,Chemestry,John Howard Northrop,Male,United States of America
1946,Chemestry,James B. Sumner,Male,United States of America
1946,Chemestry,Wendell Meredith Stanley,Male,United States of America
1946,Literature,Hermann Hesse,Male,Switzerland
1946,Medicine,Hermann Joseph Muller,Male,United States of America
1946,Peace,Emily Greene Balch,Female,United States of America
1946,Peace,John Mott,Male,United States of America
1946,Physics,Percy Williams Bridgman,Male,United States of America
1947,Chemestry,Robert Robinson,Male,United Kingdom
1947,Literature,André Gide,Male,France
1947,Medicine,Carl Ferdinand Cori,Male,Czech Republic
1947,Medicine,Bernardo Houssay,Male,Argentina
1947,Medicine,Gerty Cori,Female,"Czech Republic, United States of America"
1947,Peace,American Friends Service Committee,,United States of America
1947,Peace,Friends Service Council,,United Kingdom
1947,Physics,Edward Victor Appleton,Male,United Kingdom
1948,Chemestry,Arne Tiselius,Male,Sweden
1948,Literature,T. S. Eliot,Male,United States of America
1948,Medicine,Paul Hermann Müller,Male,Switzerland
1948,Physics,Patrick Blackett,Male,United Kingdom
1949,Chemestry,William Giauque,Male,"Canada, United States of America"
1949,Literature,William Faulkner,Male,United States of America
1949,Medicine,António Egas Moniz,Male,Portugal
1949,Medicine,Walter Rudolf Hess,Male,Switzerland
1949,Peace,John Boyd Orr,Male,United Kingdom
1949,Physics,Hideki Yukawa,Male,Japan
1950,Chemestry,Kurt Alder,Male,Germany
1950,Chemestry,Otto Diels,Male,Germany
1950,Literature,Bertrand Russell,Male,United Kingdom
1950,Medicine,Edward Calvin Kendall,Male,United States of America
1950,Medicine,Philip Showalter Hench,Male,United States of America
1950,Medicine,Tadeus Reichstein,Male,"Poland, Switzerland"
1950,Peace,Ralph Bunche,Male,United States of America
1950,Physics,C. F. Powell,Male,United Kingdom
1951,Chemestry,Glenn T. Seaborg,Male,United States of America
1951,Chemestry,Edwin McMillan,Male,United States of America
1951,Literature,Pär Lagerkvist,Male,Sweden
1951,Medicine,Max Theiler,Male,South Africa
1951,Peace,Léon Jouhaux,Male,France
1951,Physics,John Cockcroft,Male,United Kingdom
1951,Physics,Ernest Walton,Male,Ireland
1952,Chemestry,Richard Laurence Millington Synge,Male,United Kingdom
1952,Chemestry,Archer John Porter Martin,Male,United Kingdom
1952,Literature,François Mauriac,Male,France
1952,Medicine,Selman Waksman,Male,"Ukraine, United States of America"
